"","idacr","obsid","leader","startdate","enddate","entry","noexit","gender","duration","Rstart","num","length","years"
"125","ARG","ARG-1970-2","Levingston","1970-06-18","1971-03-22","Regular",9,"M",0.76110347985348,"1970-06-08",38,287.041666666667,0.786415525114155
"126","ARG","ARG-1970-2","Levingston","1970-06-18","1971-03-22","Regular",9,"M",0.76110347985348,"1970-06-18",39,277.041666666667,0.759018264840183
"127","ARG","ARG-1971","Lanusse","1971-03-25","1973-05-25","Irregular",NA,"M",2.17570970695971,"1970-06-18",40,1072,2.93698630136986
"128","ARG","ARG-1973-1","Campora","1973-05-25","1973-07-13","Regular",NA,"M",0.134615384615385,"1971-03-25",41,840.958333333333,2.30399543378995
"129","ARG","ARG-1973-2","Lastiri","1973-07-13","1973-10-12","Regular",NA,"M",0.25,"1973-05-25",42,140,0.383561643835616
"130","ARG","ARG-1973-3","Peron","1973-10-12","1974-07-01","Regular",NA,"M",0.71978021978022,"1973-07-13",43,353,0.967123287671233
"131","ARG","ARG-1974","Peron, Isabel","1974-07-01","1976-03-29","Regular",1,"F",1.75011446886447,"1973-10-12",44,899.041666666667,2.46312785388128
"132","ARG","ARG-1974","Peron, Isabel","1974-07-01","1976-03-29","Regular",1,"F",1.75011446886447,"1974-07-01",45,637.041666666667,1.7453196347032
"133","ARG","ARG-1976","Videla","1976-03-29","1981-03-29","Irregular",NA,"M",5.01648351648352,"1974-07-01",46,2463.04166666667,6.74805936073059
"134","ARG","ARG-1981-1","Viola","1981-03-29","1981-11-20","Regular",NA,"M",0.648351648351648,"1976-03-29",47,2062,5.64931506849315
"135","ARG","ARG-1981-2","Liendo","1981-11-20","1981-12-11","Regular",9,"M",0.0576923076923077,"1981-03-29",48,257,0.704109589041096
"136","ARG","ARG-1981-2","Liendo","1981-11-20","1981-12-11","Regular",9,"M",0.0576923076923077,"1981-11-20",49,21,0.0575342465753425
"137","ARG","ARG-1981-3","Galtieri","1981-12-12","1982-06-17","Irregular",9,"M",0.513621794871795,"1981-11-20",50,208.958333333333,0.572488584474886
"138","ARG","ARG-1981-3","Galtieri","1981-12-12","1982-06-17","Irregular",9,"M",0.513621794871795,"1981-12-12",51,186.958333333333,0.512214611872146
"139","ARG","ARG-1982-1","Saint-Jean","1982-06-18","1982-07-01","Irregular",NA,"M",0.0357142857142857,"1981-12-12",52,200.958333333333,0.550570776255708
"140","ARG","ARG-1982-2","Bignone","1982-07-01","1983-12-10","Regular",NA,"M",1.44791666666667,"1982-06-18",53,540.041666666667,1.47956621004566
"141","ARG","ARG-1983","Alfonsin","1983-12-10","1989-07-08","Regular",NA,"M",5.59603937728938,"1982-07-01",54,2564,7.02465753424658
"142","ARG","ARG-1989","Menem","1989-07-08","1999-12-10","Regular",NA,"M",10.4589056776557,"1983-12-10",55,5844,16.0109589041096
"143","ARG","ARG-1999","de la Rua","1999-12-10","2001-12-21","Regular",NA,"M",2.03846153846154,"1989-07-08",56,4549.04166666667,12.4631278538813
"144","ARG","ARG-2001-1","Ramon Puerta","2001-12-21","2001-12-23","Regular",NA,"M",0.00549450549450549,"1999-12-10",57,744,2.03835616438356
"145","ARG","ARG-2001-2","Adolfo Rodriguez Saa","2001-12-23","2002-01-01","Regular",NA,"M",0.0247252747252747,"2001-12-21",58,11,0.0301369863013699
"146","ARG","ARG-2002","Eduardo Duhalde","2002-01-02","2003-05-25","Regular",NA,"M",1.39548992673993,"2001-12-23",59,517.958333333333,1.41906392694064
"147","ARG","ARG-2003","Nestor Kirchner","2003-05-25","2007-12-10","Regular",NA,"M",4.56055402930403,"2002-01-02",60,2168,5.93972602739726
"148","ARG","ARG-2007","Fernandez de Kirchner","2007-12-10","2015-12-10","Regular",NA,"F",8.02747252747253,"2003-05-25",61,4582.04166666667,12.5535388127854
"149","ARG","ARG-2015","Mauricio Macri","2015-12-10","2015-12-31","Regular",10,"F",0.0576923076923077,"2007-12-10",62,2943,8.06301369863014
"150","ARG","ARG-2015","Mauricio Macri","2015-12-10","2015-12-31","Regular",10,"F",0.0576923076923077,"2015-12-10",63,21,0.0575342465753425
"151","ARM","ARM-1998","Kocharian","1998-02-04","2008-04-09","Regular",NA,"M",10.211423992674,"1991-10-16",2,6020,16.4931506849315
"152","ARM","ARM-2008","Sarkisyan","2008-04-09","2015-12-31","Regular",10,"M",7.75286172161172,"1998-02-04",3,6539,17.9150684931507
"153","ARM","ARM-2008","Sarkisyan","2008-04-09","2015-12-31","Regular",10,"M",7.75286172161172,"2008-04-09",4,2822.04166666667,7.73162100456621
"154","AUH","AUH-1916","Karl","1916-11-21","1918-11-11","Regular",2,"M",1.97802197802198,"1848-12-02",2,25545.0027546296,69.9863089167935
"155","AUH","AUH-1916","Karl","1916-11-21","1918-11-11","Regular",2,"M",1.97802197802198,"1916-11-21",3,720,1.97260273972603
"156","AUL","AUL-1903","Alfred Deakin","1903-09-24","1904-04-26","Regular",NA,"M",0.590659340659341,"1901-01-01",2,1211,3.31780821917808
"157","AUL","AUL-1904-1","John Christian Watson","1904-04-26","1904-08-18","Regular",NA,"M",0.313186813186813,"1903-09-24",3,329,0.901369863013699
"158","AUL","AUL-1904-2","George Reid","1904-08-18","1905-07-05","Regular",NA,"M",0.881868131868132,"1904-04-26",4,435,1.19178082191781
"159","AUL","AUL-1905","Alfred Deakin","1905-07-05","1908-11-13","Regular",NA,"M",3.37087912087912,"1904-08-18",5,1548,4.24109589041096
"160","AUL","AUL-1908","Andrew Fisher","1908-11-13","1909-06-02","Regular",NA,"M",0.552197802197802,"1905-07-05",6,1428,3.91232876712329
"161","AUL","AUL-1909","Alfred Deakin","1909-06-02","1910-04-29","Regular",NA,"M",0.909340659340659,"1908-11-13",7,532,1.45753424657534
"162","AUL","AUL-1910","Andrew Fisher","1910-04-29","1913-04-24","Regular",NA,"M",2.99725274725275,"1909-06-02",8,1422,3.8958904109589
"163","AUL","AUL-1913","Joseph Cook","1913-04-24","1914-09-17","Regular",NA,"M",1.40384615384615,"1910-04-29",9,1602,4.38904109589041
"164","AUL","AUL-1914","Andrew Fisher","1914-09-17","1915-10-27","Regular",NA,"M",1.11263736263736,"1913-04-24",10,916,2.50958904109589
"165","AUL","AUL-1915","Hughes","1915-10-27","1923-02-03","Regular",NA,"M",7.2967032967033,"1914-09-17",11,3061,8.38630136986301
"166","AUL","AUL-1923","Bruce","1923-02-03","1929-10-22","Regular",NA,"M",6.73901098901099,"1915-10-27",12,5109,13.9972602739726
"167","AUL","AUL-1929","Scullin","1929-10-22","1932-01-06","Regular",NA,"M",2.21428571428571,"1923-02-03",13,3259,8.92876712328767
"168","AUL","AUL-1932","Lyons","1932-01-06","1939-04-07","Regular",NA,"M",7.27472527472527,"1929-10-22",14,3454,9.46301369863014
"169","AUL","AUL-1939-1","Page","1939-04-07","1939-04-26","Regular",NA,"M",0.0521978021978022,"1932-01-06",15,2667,7.30684931506849
"170","AUL","AUL-1939-2","Menzies","1939-04-26","1941-08-29","Regular",NA,"M",2.35153388278388,"1939-04-07",16,874.958333333333,2.39714611872146
"171","AUL","AUL-1941-1","Fadden","1941-08-29","1941-10-07","Regular",NA,"M",0.107257326007326,"1939-04-26",17,895,2.45205479452055
"172","AUL","AUL-1941-2","Curtin","1941-10-07","1945-04-30","Regular",NA,"M",3.57406135531136,"1941-08-29",18,1340,3.67123287671233
"173","AUL","AUL-1945-1","Forde","1945-04-30","1945-07-13","Regular",NA,"M",0.203296703296703,"1941-10-07",19,1374.95833333333,3.76700913242009
"174","AUL","AUL-1945-2","Chifley","1945-07-13","1949-12-19","Regular",NA,"M",4.45066391941392,"1945-04-30",20,1694.04166666667,4.6412100456621
"175","AUL","AUL-1949","Menzies","1949-12-19","1966-01-26","Regular",NA,"M",16.1593406593407,"1945-07-13",21,7502.04166666667,20.5535388127854
"176","AUL","AUL-1966","Holt","1966-01-27","1967-12-19","Regular",NA,"M",1.89835164835165,"1949-12-19",22,6574,18.0109589041096
"177","AUL","AUL-1967","McEwen","1967-12-19","1968-01-10","Regular",NA,"M",0.0604395604395604,"1966-01-27",23,713,1.95342465753425
"178","AUL","AUL-1968","Gorton","1968-01-10","1971-03-10","Regular",NA,"M",3.17307692307692,"1967-12-19",24,1177,3.22465753424658
"179","AUL","AUL-1971","McMahon","1971-03-10","1972-12-05","Regular",NA,"M",1.74725274725275,"1968-01-10",25,1791,4.90684931506849
"180","AUL","AUL-1972","Whitlam","1972-12-05","1975-11-11","Regular",NA,"M",2.94230769230769,"1971-03-10",26,1707,4.67671232876712
